section,sent.no,filename,sentences,neutral,generalization,exemplification,attribution,conditional,ID
b,186,sr.55.2.02_nonotes.txt,"In both performance and print these were ephemeral songs that matched catchy tunes to sometimes humorous, sometimes sentimental lyrics across a dazzling variety of styles and subgenres.",1,0,0,0,0,1142
b,303,asr.2016.81.2.262_nonotes.txt,"In other cases, these positions are used to balance competing demands outside of work.",1,0,0,0,0,1144
b,273,asr.2016.81.3.467_nonotes.txt,"Hence, the debate surrounding the degree to which employment relationships are open is unresolved, leaving a number of critical questions in this area unanswered—such as how and to what extent the way firms reward employees has changed in recent decades.",1,0,0,0,0,1150
b,192,modernismmodernity.2016.23.4.813_nonotes.txt,"He doesn't grow in influence in the wake of the Mexican Revolution of YEAR; rather, following the townspeople's refusal to mourn his great love Susana San Juan, he dictates the town's death.",1,0,0,0,0,1152
b,318,asr.2016.81.2.215_nonotes.txt,The shaded dots denote four hypothetical audience members; their locations in the space illustrate their two favorite restaurants.,1,0,0,0,0,1153
b,270,nlh.47.4.643674_nonotes.txt,"They were once wallpaper—maybe irritating, maybe unnoticed.",1,0,0,0,0,1155
e,231,ahr.2016.121.4.1167_nonotes.txt,Police made him pledge to wear clothing that would make him “immediately recognizable as a woman.”,1,0,0,0,0,1156
b,255,sr.55.1.05_nonotes.txt,The circumstantial evidence on which Mellor builds her case is itself not under dispute.,1,0,0,0,0,1159
e,264,modernismmodernity.2016.23.2.365_nonotes.txt,"""He who holds the book, holds the man,"" reads a contemporary aphorism by Walt Whitman, who also notably influenced Marinetti's figuration of an ""electric"" embodiment and the manifesto-like enumerations that could will it into being.",1,0,0,0,0,1160
b,237,pmla.2016.131.1.64_nonotes.txt,"This is not a single scene of encounter but an encounter that unfolds over time, as the text takes different material forms in different versions.",1,0,0,0,0,1163
e,201,ahr.2016.121.3.824_nonotes.txt,"If one were to read only the content of the photograph (photohistory), as so many have done, it seems a transparent testimony to a united, spontaneous national uprising that fought to regain Paris from the Nazis.",0,1,0,0,0,1164
e,279,asr.2016.81.4.828_nonotes.txt,"Such a model is also necessary to more closely study the hypothesis, suggested by Simulation , that the stability of social structure is an emergent phenomenon of the interpersonal affective control mechanism.",1,0,0,0,0,1165
b,357,pmla.2016.131.1.20_nonotes.txt,Carabine's ordered scenes and heavy shading reinforce the widely held view of things Fall Apart as a necessary realist precursor to contemporary forms of African fiction.,0,1,0,0,0,1166
e,177,ahr.2016.121.4.1196_nonotes.txt,These included the medical and psychological importance of supporting breastfeeding as well as the economic and cultural reasons for doing so.,1,0,0,0,0,1167
b,270,asr.2016.81.5.981_nonotes.txt,"Writing about descendants of previous waves of Mexican immigrants, Telles and Ortiz (YEAR) demonstrate how individual- and institutional-level discrimination has impeded the assimilation and social mobility of later generations.",0,1,0,1,0,1168
b,231,asr.2016.81.4.749_nonotes.txt,"The popular image of nonmarital childbearing is still of adolescents, but fertility among adolescents has dropped substantially: the birth rate among women age  to  reached repeated lows in recent years.",0,1,0,0,0,1169
e,141,modernismmodernity.2016.23.3.651_nonotes.txt,"It is rather a wager on the purely collective wellsprings of just behavior, as against the Kantian categorical imperatives.",0,1,0,0,0,1170
b,246,nlh.47.1.626111_nonotes.txt,"Rather than interpreting their aesthetic and political commitments as historically bounded and symptomatic of a past moment, we can understand them as conveying knowledge and experience that is transtemporally persistent: depictions of interactions between human bodies and inhospitable natural environments whose time is biological and relatively permanent rather than historically specific to Romanticism or Victorian culture.",0,1,0,0,0,1171
b,246,asr.2016.81.2.242_nonotes.txt,"In addition, ethnic diversity is assumed to affect economic solidarity negatively by hampering intergroup communication and depressing social trust.",1,0,0,0,0,1172
e,216,modernismmodernity.2016.23.4.771_nonotes.txt,"Having identified all the elements of this artistic transformation, let us step back and retrace the loop at play in this most informative paragraph in its complete form: The truth of the matter is that my faculty to write in English is as natural as any other aptitude with which I might have been born.",0,1,0,0,0,1174
b,168,sr.55.2.03_nonotes.txt,"Although Potosí remained a powerful symbol of Spanish imperial wealth throughout the eighteenth and nineteenth centuries, it also came to represent the corrupting influence of greed and the destabilizing potential of colonial mismanagement.",0,1,1,0,0,1176
b,255,sn.48.4.05_nonotes.txt,"This work addresses the link between language and place, and specifically between Hebrew and homeland, through both thematic and formal techniques that denaturalize language and expose the connections and disconnections between language and nation.",0,1,0,0,0,1177
e,162,nlh.47.1.626115_nonotes.txt,The regime of legal interpretation is a vast piece of machinery for the sublimation of disparate social interests into a discourse of universality.,0,1,0,0,0,1179
e,201,modernismmodernity.2016.23.1.65_nonotes.txt,A full discussion of their place in the modern history of dance lies beyond the scope of this article.,1,0,0,0,0,1180
b,189,ci.42.2.684354_nonotes.txt,"Both were looking for something in Hammershøi’s work that it refuses to supply, whether some form of spiritual serenity or a metaphysical essence that unifies his oeuvre.",1,0,0,0,0,1181
e,255,nlh.47.4.643668_nonotes.txt,"Rather, it is to suggest that accounting for the dynamism of one’s very own complicity could be more important than the comfort-zone of critical distance for understanding what novelistic solace actually does.",0,1,0,0,0,1182
b,240,ci.42.4.686945_nonotes.txt,"One of them, a domestic servant of previous residents of the house, recalled a peddler who went missing around the time the masters of the house came into possession of a trove of manufactured goods",1,0,0,0,0,1183
b,246,sr.55.4.02_nonotes.txt,In what follows I investigate the effect of Francis Jeffrey's attacks on their poetic theory and practice.,1,0,0,0,0,1184
e,219,ci.42.2.684357_nonotes.txt,(That last insight will inevitably remain vexed until the field is far more advanced than it is today.),0,1,0,0,0,1185
b,189,nlh.47.4.643673_nonotes.txt,"If this is so, then perhaps the one-day novel is an appropriate form on which to base a more general investigation of the relationship between the single day and the everyday.",0,1,1,0,0,1186
b,285,sr.55.3.03_nonotes.txt,"The story it contains will be transatlantic, spanning the gap from Lamb's bookshelves to Greenwich Street in lower Manhattan, and our primary means of conveyance will be that same octavo edition bearing the marks of Lamb, Coleridge, and various other hands since the seventeenth century: Poems, &c.",0,1,0,0,0,1187
e,156,nlh.47.1.626118_nonotes.txt,"This involves consideration of work-(and sometimes style-)defining relations between and among not just perceptual features and acts (sometimes on the part of film characters, as well as viewers) but extra- or nonperceptual narrative, emotional, imaginative, and conceptual ones.",0,1,0,0,0,1188
e,219,sn.48.1.06_nonotes.txt,"Furthermore, this approach also promotes the analysis of any formal devices that may belong distinctly to the particular “other” group in question, scrutinizing how and why the author has decided to incorporate same.",1,0,0,0,0,1189
b,183,sn.48.1.04_nonotes.txt,"These four books, in which Ferber’s social criticism is at its most subtle and profound, aptly demonstrate both Ferber’s art and her project as a “chronicler of America” (as the New York Times characterized her in her obituary) for the middle class. In this, they took cues from Ferber herself who, “with poise and frankness,” called herself “middle class,” a “passionate democrat,” and “a provincial American” (Woods).",0,1,1,0,0,1191
e,222,ci.42.3.685605_nonotes.txt,The soundtrack of this scene is an escalating noise of rice boiling while the image shows the mother’s face looming into a close-up from the side and blurring somewhat from the smoke of the open-air charcoal stove and steam from the boiling rice.,1,0,0,0,0,1194
b,333,asr.2016.81.5.900_nonotes.txt,"Couples with young children, however, exhibit greater inequality in the implicit weights attached to the man’s versus the woman’s expected income (a motherhood penalty), as do couples in which the man earned more than the woman prior to a potential move (traditional gender roles).",0,1,0,0,0,1195
e,159,sn.48.1.05_nonotes.txt,"At one point in American Pastoral, Nathan ponders the question of why he is so obsessed with the Swede: “Why the appetite to know this guy?...",1,0,0,0,0,1196
b,177,ci.43.1.688292_nonotes.txt,"The leaps of perspective they involve between “Chain,” “Starr” and “Moon” are giddying, made all the sharper by Satan’s sudden lurch into creation after the dimensionless and crude consistency of Chaos.",1,0,0,0,0,1197
e,213,ci.42.4.686950_nonotes.txt,"The more powerful the cognitive capabilities of technical systems, the more far-reaching are the results and transformations associated with them.",0,1,0,0,0,1198
e,237,sr.55.3.02_nonotes.txt,"It is a dispatch from a visitor to a region scarred by war and weakened by hunger, whose elite stood to profit from supplying captive and fettered black bodies to the slave-driven economy of the Atlantic Rim.",1,0,0,0,0,1199
